observed_packet_detection_rate,drop_rate,total_detected,total_attacks,final_buffer_utilization,final_throughput,p,lambda,rep
0.7366666666666667,0.0,221,6,0.0,0.0,0.7,1.0,18
0.7061538461538461,0.0,459,13,0.0,0.0,0.7,1.0,19
0.6909090909090909,0.0,380,11,0.0,0.0,0.7,1.0,20
0.67,0.0,402,12,0.0,0.0,0.7,1.0,21
0.67625,0.0,541,16,0.0,0.0,0.7,1.0,22
0.71,0.0,497,14,0.0,0.0,0.7,1.0,23
0.652,0.0,163,5,0.0,0.0,0.7,1.0,24
0.7485714285714286,0.0,262,7,0.0,0.0,0.7,1.0,25
0.6771428571428572,0.0,237,7,0.0,0.0,0.7,1.0,26
0.7111111111111111,0.0,320,9,0.0,0.0,0.7,1.0,27
0.6533333333333333,0.0,196,6,0.0,0.0,0.7,1.0,28
0.6766666666666666,0.0,406,12,0.0,0.0,0.7,1.0,29
0.8466666666666667,0.0,127,3,0.0,0.0,0.85,0.1,0
0.0,0.0,0,0,0.0,0.0,0.85,0.1,1
0.0,0.0,0,0,0.0,0.0,0.85,0.1,2
0.0,0.0,0,0,0.0,0.0,0.85,0.1,3
0.9,0.0,135,3,0.0,0.0,0.85,0.1,4
0.94,0.0,47,1,0.0,0.0,0.85,0.1,5
0.0,0.0,0,0,0.0,0.0,0.85,0.1,6
0.0,0.0,0,0,0.0,0.0,0.85,0.1,7
0.875,0.0,175,4,0.0,0.0,0.85,0.1,8
0.8666666666666667,0.0,130,3,0.0,0.0,0.85,0.1,9
0.8666666666666667,0.0,130,3,0.0,0.0,0.85,0.1,10
0.9,0.0,90,2,0.0,0.0,0.85,0.1,11
0.84,0.0,42,1,0.0,0.0,0.85,0.1,12
0.9,0.0,45,1,0.0,0.0,0.85,0.1,13
0.94,0.0,47,1,0.0,0.0,0.85,0.1,14
0.84,0.0,42,1,0.0,0.0,0.85,0.1,15
0.88,0.0,44,1,0.0,0.0,0.85,0.1,16
0.0,0.0,0,0,0.0,0.0,0.85,0.1,17
0.83,0.0,83,2,0.0,0.0,0.85,0.1,18
0.9,0.0,45,1,0.0,0.0,0.85,0.1,19
0.0,0.0,0,0,0.0,0.0,0.85,0.1,20
0.0,0.0,0,0,0.0,0.0,0.85,0.1,21
0.88,0.0,132,3,0.0,0.0,0.85,0.1,22
0.0,0.0,0,0,0.0,0.0,0.85,0.1,23
0.82,0.0,41,1,0.0,0.0,0.85,0.1,24
0.8,0.0,40,1,0.0,0.0,0.85,0.1,25
0.86,0.0,43,1,0.0,0.0,0.85,0.1,26
0.84,0.0,42,1,0.0,0.0,0.85,0.1,27
0.86,0.0,86,2,0.0,0.0,0.85,0.1,28
0.88,0.0,44,1,0.0,0.0,0.85,0.1,29
0.91,0.0,91,2,0.0,0.0,0.85,0.5,0
0.864,0.0,216,5,0.0,0.0,0.85,0.5,1
0.86,0.0,86,2,0.0,0.0,0.85,0.5,2
0.87,0.0,261,6,0.0,0.0,0.85,0.5,3
0.8466666666666667,0.0,254,6,0.0,0.0,0.85,0.5,4
0.84,0.0,42,2,0.0,0.0,0.85,0.5,5
0.8433333333333334,0.0,253,6,0.0,0.0,0.85,0.5,6
0.82,0.0,328,8,0.0,0.0,0.85,0.5,7
0.852,0.0,213,5,0.0,0.0,0.85,0.5,8
0.8314285714285714,0.0,291,7,0.0,0.0,0.85,0.5,9
0.8942857142857142,0.0,313,7,0.0,0.0,0.85,0.5,10
0.85,0.0,170,4,0.0,0.0,0.85,0.5,11
0.828,0.0,207,6,0.0,0.0,0.85,0.5,12
0.845,0.0,169,4,0.0,0.0,0.85,0.5,13
0.89,0.0,178,4,0.0,0.0,0.85,0.5,14
0.8533333333333334,0.0,128,3,0.0,0.0,0.85,0.5,15
0.852,0.0,213,5,0.0,0.065536,0.85,0.5,16
0.8514285714285714,0.0,298,7,0.0,0.0,0.85,0.5,17
0.84,0.0,252,6,0.0,0.0,0.85,0.5,18
0.8133333333333334,0.0,366,9,0.0,0.0,0.85,0.5,19
0.88,0.0,176,4,0.0,0.0,0.85,0.5,20
0.88,0.0,220,5,0.0,0.0,0.85,0.5,21
0.864,0.0,216,5,0.0,0.0,0.85,0.5,22
0.8342857142857143,0.0,292,7,0.0,0.0,0.85,0.5,23
0.87,0.0,348,8,0.0,0.0,0.85,0.5,24
0.885,0.0,177,4,0.0,0.0,0.85,0.5,25
0.8633333333333333,0.0,259,6,0.0,0.0,0.85,0.5,26
0.852,0.0,213,5,0.0,0.0,0.85,0.5,27
0.86,0.0,215,6,0.0,0.0,0.85,0.5,28
0.85,0.0,170,4,0.0,0.0,0.85,0.5,29
0.84,0.0,210,5,0.0,0.032768,0.85,1.0,0
0.8466666666666667,0.0,508,12,0.0,0.0,0.85,1.0,1
0.85,0.0,340,8,0.0,0.0,0.85,1.0,2
0.8563636363636363,0.0,471,11,0.0,0.0,0.85,1.0,3
0.8654545454545455,0.0,476,11,0.0,0.0,0.85,1.0,4
0.8363636363636363,0.0,460,11,0.0,0.0,0.85,1.0,5
0.868,0.0,217,5,0.0,0.0,0.85,1.0,6
0.835,0.0,334,8,0.0,0.0,0.85,1.0,7
0.8428571428571429,0.0,590,14,0.0,0.0,0.85,1.0,8
0.844,0.0,422,10,0.0,0.0,0.85,1.0,9
0.8425,0.0,674,16,0.0,0.0,0.85,1.0,10
0.8254545454545454,0.0,454,11,0.0,0.0,0.85,1.0,11
0.8644444444444445,0.0,389,9,0.0,0.0,0.85,1.0,12
0.8542857142857143,0.0,299,7,0.0,0.0,0.85,1.0,13
